,Transcription,Emotion
43,"I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx
44,I'm just trying to think of another way.  I'm just trying to...,xxx
45,"Just, you know, kicking myself.",sad
46,like you sign up because you need money and,xxx
47,things just aren't what they seem.,sad
48,This is a stupid war.,xxx
49,"We're doing the right thing, though.",xxx
50,I know.,fru
51,I just don't see why it has to be you.,sad
52,"If not me then, who?",sad
53,What am I going to do? Huh?,sad
54,"You'll videotape everything, yeah?",sad
55,Yeah.,sad
56,"Maybe you can send it to me, like stream it, yeah?",sad
57,Don't you guys have access to computers over there.,neu
58,Last month--  Yeah.,sad
59,I just don't know how I'm going to do it without you.,sad
60,I have to find sitters.,neu
61,I can't raise a baby by myself.  How?,sad
62,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad
63,I know.,neu
64,And your mother is close by.,neu
65,I'll send you lots of letters.,sad
66,And I want lots and lots and lots of pictures.,sad
67,It's just not fair.,fru
68,So what's up?  What's new?,neu
69,Well Vegas was awesome.,hap
70,Yeah.  I heard.,neu
71,"And, um, I got married.",hap
72,Shut up.  No- in Vegas?,sur
73,Yeah.  In the old town part.,hap
74,Who did you marry?,exc
75,Chuck. [LAUGHTER],xxx
76,Did you propose to you?,xxx
77,Um- Yes.  It was very romantic.,hap
78,It was at the slot machines.,hap
79,Oh.  The Wheel of Fortune slots?,xxx
80,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap
81,He turned to you and was like...,neu
82,Hey.  Let's get married and I said okay.,xxx
83,[LAUGHTER] That's really romantic.,hap
84,"Yeah.  Well.  You know, because he's leaving the next day.",hap
85,Yeah.,neu
86,But we're going to have a honeymoon cruise.,hap
87,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu
88,Oh.  I hadn't even thought about that.,hap
89,Yeah.  Think about that.,xxx
90,"He's not going to be a citizen, though.",xxx
91,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,neu
92,Oh.  Totally.,hap
93,"Oh, how are you going to do the long distance thing?  So wait, are you going to move there?",xxx
94,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],hap
95,Like you need another one of those.[LAUGHTER],hap
96,I have an internet boyfriend.  I guess I'll have to juggle the two.  Is that cheating?  I don't know. Hmm.,xxx
97,Is that your phone?,hap
98,"Yeah, so [LAUGHTER] He's calling me now",exc
99,He loves you.,hap
100,"He likes to keep tabs, you know.",hap
101,How much did he win at the slot?,neu
102,"Uh, I think seven hundred and fifty dollars.",neu
103,Really? Penny slots?,sur
104,Penny slots. That's what he plays.,neu
105,Wow.,sur
106,Yeah.,neu
107,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,neu
108,Oh.,xxx
109,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,hap
110,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu
111,Fifty bucks. Mmhmm.,neu
112,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",neu
113,Yeah.,neu
114,Well so now we're married. We have cat children.,hap
115,Awesome.,exc
116,[LAUGHTER] Cat babies.,hap
117,"We renamed Brenda, Lumber Janet.",hap
118,That's fair enough.,neu
119,She needs a new name each state that we go into. [LAUGHTER],hap
120,"Have you tried, uh, Craig's List?",neu
121,"Uh, what?  Craig's List?  Oh the internet thing?",neu
122,Yeah.,neu
123,I don't know.  Isn't that-- that's all like escort services and things like that.,neu
124,No.  There's regular jobs on there.,neu
125,"I don't know.  I mean I've been looking for so long that I just figured that--  I mean, I think things like Monster are a lot more reliable than just some random free board.",fru
126,Uh huh.,neu
127,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu
128,What kind of a job?,xxx
129,He's like a manager for a theatre.,neu
130,Really?,xxx
131,He's like a house manager. Yeah.  It's a good job.,neu
132,He just...,neu
133,you know what?  I heard about that job.  I applied for that.,neu
134,You did?,neu
135,Yeah.  I saw a posting at the theatre.,fru
136,Yeah.,neu
137,He got it?,xxx
138,You've been looking for a job for a long time; that was a long time ago.  Right?,neu
139,Yeah.,neu
140,Hmm.,neu
141,What did he do?  What was so great?  I don't understand why they would pick him over me.,xxx
142,I don't know.  He had a really good resume I guess and--,neu
143,A resume?,xxx
144,Yeah.  Do you have a resume?,neu
145,No.,xxx
146,It's kind of helpful when getting a job.,neu
147,I just- I mean I call people up and I tell them what I'm good at.,neu
148,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu
149,Yeah.,neu
150,I don't like- I don't like sending things in the mail.  I don't want my information out there.,xxx
151,"No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu
152,I'm there in front of them.  I'm telling them what I'm good at.,fru
153,"Yeah.  But the piece of paper helps, too.",neu
154,Why?  It's a piece of paper.,fru
155,"No.  But it has an outline, you know.",neu
156,"I just don't want this paper trail, you know.  I just don't want things following me around, like-.",fru
157,"I know.  Okay.  Well, um. Maybe--",neu
158,"It's just-- You know, I've had this problem before.  You're not the first person to tell me that I need a resume but...",fru
159,Yeah.,neu
160,"Okay, yeah.  I would imagine.",neu
161,..I just-..I just think it's kind of prejudiced and they are really discriminating against people who just aren't that way.,xxx
162,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu
163,"That's baloney, that's baloney.",fru
164,Please.,fru
165,maybe get a car.,neu
166,"I just, you know, think you should try a little harder maybe.",neu
167,you think that you're better than me because I don't have a car?,fru
168,I didn't say that.,neu
169,"You know, you're riding the bus, too.",fru
170,"I am riding the bus, but by choice.",neu
171,Why?  What choice?,fru
172,"To save the environment, carpool.",neu
173,You're saving the environment. mmhmm,fru
174,Yes.  One less car at a time.,neu
175,Interesting.  That's fantastic.,fru
176,Mmhmm.,neu
177,"You know, you don't have to take out your frustration on me, you know, just because...",fru
178,I'm not frustrated.,ang
179,...you can't get a job and refuse to have a resume.,fru
180,Who do you think you are?,ang
181,I don't think I'm anyone.,neu
182,You are so high and mighty.  I just--,ang
183,I- I-I didn't-- okay.,neu
184,Oh.  I'm saving the environment. I'm riding this car because I- I want to.,ang
185,What?  No.,xxx
186,What? Oh.  So now you're...,fru
187,"The bus, I'm riding the bus because I want to.",ang
188,you know what?  You don't have to take your anger and your hurt out on me.,fru
189,I can not-- you are not here by choice.  Nobody would ride this bus by choice.,ang
190,Why not?,xxx
191,Hi.,fru
192,Hi.  Thanks for waiting.,neu
193,Yeah. This is the fourth line that I have been in.,fru
194,Can I help you?,hap
195,Uh huh.,hap
196,I need my bag.,fru
197,Okay.,neu
198,"I flew in over three hours ago, I've been in four different lines.",fru
199,Okay.,neu
200,I waited the entire baggage- I waited for the whole baggage carousel four times.  They told me to go to the next one.  I waited through that for three planes and now I'm here.,fru
201,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neu
202,Nash.,fru
203,Okay.,neu
204,No G.,xxx
205,all right- okay.  And you lost your bag? Is that- that the issue?,neu
206,Yes.,fru
207,Flight seven fourteen.,ang
208,Uh-huh.,neu
209,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang
210,"Yeah. Yeah, I don't see- I don't see any--",neu
211,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu
212,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neu
213,"Oh, Are you kidding me?",xxx
214,"for such an inconvenience and your bag, but",neu
215,Is this a joke?,ang
216,Yeah.,neu
217,"No, no.",neu
218,"Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline.",ang
219,"No, no.  This is real.",neu
220,So you'll give me money and then I'll get my bag?,xxx
221,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neu
222,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu
223,"You're kidding me, this is a joke.",ang
224,"Once again, I'm really- I'm really sorry.",xxx
225,Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.,ang
226,Yes.,neu
227,I know.,neu
228,We flew in from Paris.  I've been shopping for three weeks.,ang
229,"I'm very sorry.  But if you see the sign that's right behind me here, it spells it out really clearly that we are not held liable--",xxx
230,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang
231,Okay. Calm-,neu
232,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu
233,Do you understand who my husband is?,ang
234,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang
235,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu
236,Oh-Oh.  It's a gift.  You're-You're helping me out here?,ang
237,It's a gift.,neu
238,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu
239,You are cruising for a bruising.  You are in so much trouble.,ang
240,With the amount of--,neu
241,Who's in charge?  Who is the president of Jet Blue?,ang
242,"Um, actually, I don't know. I don't know. Oh really?",neu
243,Because I probably know him.,ang
244,Yeah.,ang
245,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu
246,"I don't want money, I want my clothes.",ang
247,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu
248,What's your name?,ang
249,Oh.  My name is Sean. Hi.,neu
250,Sean.  Great. Do you have a badge number or something?,xxx
251,"Badge number?  Uh, no.  You can just take my employee number I guess.",sur
252,Okay.  I'll do that.,ang
253,Why?  Have I done something wrong?  Have I given you bad service?  I feel like I have done the best I could.,sur
254,I don't think you have done everything you could do because I don't have my bag here yet.,ang
255,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neu
256,A letter? I'll make a personal phone call.,ang
257,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu
258,"I'm sorry, Joy.",sad
259,It's okay.,xxx
260,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neu
261,"No, no, no.",xxx
262,...pick up anything?,neu
263,No.,sad
264,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad
265,That's sweet.,neu
266,Thank you.,neu
267,I went to see her headstone a week or two ago.,sad
268,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad
269,Hmm.,neu
270,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad
271,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad
272,"this woman came up and, you know, it was hers. It was her person that was there.",neu
273,Oh.  She was there?,neu
274,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad
275,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad
276,Mmhmm.,neu
277,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad
278,Yeah.,sad
279,I don't know.,sad
280,How long were you there for?,neu
281,At the cemetery?,sad
282,Mmhmm.,neu
283,couple hours.,sad
284,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neu
285,Oh really?,neu
286,You ran through the sprinklers in the cemetery?,neu
287,It was hot.[LIPSMACK],xxx
288,Is it a big cemetery?,neu
289,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu
290,"Oh, so they're like really old too, really old ones?",neu
291,Yeah.,neu
292,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad
293,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad
294,She used to have these poetry parties on Memorial Day.,sad
295,Mmhmm.,neu
296,Umm. Yeah.,sad
297,"And the last time before she died, I remember she couldn't really stand, umm...",sad
298,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad
299,Mmhmm.,neu
300,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad
301,So she wrote a lot of poetry?,neu
302,"There's another one, I can't remember.",neu
303,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad
304,Mmhmm.Mmhmm.Mmhmm.,xxx
305,Did you get the letter?,exc
306,"Yes.  There's a big envelope it says, you're in. I know.",exc
307,Yeah. That is so awesome.,exc
308,Oh my God. What are you going to do? [LAUGHTER],exc
309,So I have to move back to the ghetto but...I know.,xxx
310,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",exc
311,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",exc
312,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",exc
313,"Oh- I know, I know, I know, I know.",exc
314,"I don't know.  I spend so much time commuting as it is, I'd rather.",exc
315,This is so- I am so happy that you're going to stay.  You're not going to...We should totally throw a party.,exc
316,I know. We should throw a party.,exc
317,"At Arapaho we could afford that. [GARBAGE]. Yeah.  So what are you doing this summer, though?  You're staying around, too, yeah?",xxx
318,A rapper party ho. Yeah. Okay.,exc
319,"I am just- Yeah.  I'm sticking around, I'm just doing my thing.  I'm living here.  I'm so glad you're going to stay, I'm so glad you're going to be here. Yeah. Woo.",exc
320,It's a relief too. I mean I was thinking I was going to have to pack up all of my stuff but yeah. Hooray for U.S.C.,xxx
321,Yeah.  Big time.,exc
322,Mmhmm. Mmhmm. Yay. So what major?  What are you doing?,exc
323,"Umm. It's...It's uhh...It's Critical Studies. It's a really prestigious program, so they say.",xxx
324,"Oh, okay.",xxx
325,Ooh. Fancy.,xxx
326,Yeah.  I'm not sure.,exc
327,Is this a Masters or a P.h.D.?  Or can you...? Nice,neu
328,Umm...P.h.D. [LAUGHTER],exc
329,"That's good.  Don't you have to like teach a class, too, when you do that?",neu
330,"Um, yeah, yeah.  I'm a TA for two sessions. Mmhmm.",xxx
331,"Teacher. Mrs. Nash, I have a question.",exc
332,So I get to mold young minds. Mrs.?  That's my mother.,exc
333,You have to get married.  Well you are married to Chuck.  You're Mrs. Nash.  Not to be confused with Mrs. Dash which is the popular seasoning.,exc
334,"I would be like- Oh. Right, right, right.",exc
335,"Mrs. Nash.  That's so awesome, though.",xxx
336,"Yeah. Yeah I'm excited. Hooray.  And then I'll be a millionaire once I graduate, you understand? Because that's the way it works.",xxx
337,Yay...School's fun.,exc
338,"Of course, right.  That's where the real money is, being a student.",neu
339,Yeah.  Totally. [LAUGHTER],xxx
340,That's how you get the big bucks.  Are you messing with the chair? Don't ruin it.,hap
341,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",exc
342,What's he going to say?,fru
343,Maybe we should tell him before he sees it.,xxx
344,He saw it.,neu
345,How could he see it?  I was the first one up; he was still in bed.,sur
346,He was out here when it broke.,neu
347,When?,xxx
348,Four o clock this morning.  I heard a crack and I woke up and looked out.  He was standing right over there when it cracked.,neu
349,What was he doing out here at four o clock in the morning?,xxx
350,I don't know.,neu
351,"He's dreaming of him again, walking around.",neu
352,I guess he is.,neu
353,It's getting to be just like after he died.  What's the meaning of that?,xxx
354,"I don't know the meaning of it.  But I know one thing, Mom, you've made a terrible mistake with father.",fru
355,What?,xxx
356,"Being dishonest with him, you know.  This kind of thing always pays off and it's paying off.",xxx
357,What do you mean dishonest?,xxx
358,You know Larry is not coming back and I know it.  Why do we allow him to go on thinking that we believe with him?,neu
359,What do you want to do?  Argue with him?,fru
360,I don't want to argue but it's time he realized that nobody believes Larry is alive.,fru
361,"You know?  Why shouldn't he walk the nights thinking of him, dreaming of him?   Do we contradict him?  Do we say, we don't have any hope anymore?  That we haven't had any hope for years now?",fru
362,You can't say that to him.,fru
363,We've got to say it to him.,neu
364,Where's the proof?  Do you have any proof?,fru
365,"For God's sake, three years?  Nobody comes back after three years; that's insane.",fru
366,"To you it is, to me it is, but to your father, you can talk yourself until you are blue in the face.  But there is no grave and there is no body, so where are you?",fru
367,"Sit down, Mom.  I want to talk to you.",neu
368,"It's that the trouble is those God damn newspapers.  Every month some new boy comes back and so the next one is going to be Larry, they just--",xxx
369,"All right, all right, all right.  You know why I asked Annie here, right?",fru
370,Why?,fru
371,You know.,neu
372,"Well I got an idea, but what's your story?",neu
373,I'm going to ask her to marry me.,neu
374,"Well that's only your business, Chris.",xxx
375,You know it's not just my business.,neu
376,Well what do you want me to do?  You're old enough to know your own mind.,xxx
377,"So all right then, I'll just go ahead with it?",neu
378,Well you want to make sure that your father is not going to --,xxx
379,Then it's not just my business.,fru
380,I'm just saying.,xxx
381,"You know sometimes you infuriate me.  you know that?  Isn't it your business if I tell father and he throws a fit about it?  God, you have such a talent for ignoring things.",ang
382,Oh.  I ignore what I got to ignore.  That girl is Larry's girl.,xxx
383,She's not Larry's girl.,fru
384,"From your father's point of view, he is not dead and- Chris he still thinks he's still alive.  The girl is Larry's girl.",fru
385,"Now you can go on from there if you know where to go, but I'm telling you, I don't know where to go.",fru
386,"I don't know why it is, but every time I reach out for something I have to pull back because I am afraid other people will suffer. My whole bloody life, time after time.",fru
387,"You're a considerate fellow, there's nothing wrong in that.",fru
388,To hell with that.,fru
389,I just don't see why.  Have you asked Annie yet?,fru
390,I wanted to get this settled first.,neu
391,Well how do you know she's going to marry you?  Maybe she feels the same way your father does.,fru
392,"Well if she does, then that's it.  That's the end of it.  From her letters, though, I think she's pretty much forgotten him.",neu
393,And then we'll thrash it out with father.  Okay Mom?  Don't avoid me.,neu
394,The trouble is you don't see enough women.  You never did.,fru
395,So what.  I'm not fast with women.,fru
396,Why does it have to be Annie?,fru
397,Because it is.,fru
398,Oh that's a great reason.  It's no reason at all.,fru
399,I don't know.,fru
400,"You haven't seen her since you went away to war, it's been five years.",fru
401,"I can't help it, I know her best.  I was brought up next door to her, you know?  These years when I think of someone for my wife, I think of Annie.",fru
402,"Mom, what do you want?  A diagram?",fru
403,I don't want a diagram.,fru
404,He thinks he's coming back Chris.,fru
405,"You marry that girl, you are pronouncing him dead...",fru
406,...and then what's that going to do to your father?  Do you know?  I don't.,fru
407,"All right, then, Mom. [BREATHING]",fru
408,Just give it some more thought.,neu
409,"I've given it three years of thought.  And I'd hope that if I waited, father would forget about Larry and then we could just have a regular wedding and everyone would be happy.",fru
410,"But if I can't do that here, I may have to go somewhere else.",fru
411,What the hell is this?,ang
412,"I'll get out.  I'll get married and I'll move somewhere else, maybe New York.",neu
413,Are you crazy?,xxx
414,"I've been a good son for too long, a good sucker.",fru
415,You have a business here.  What the hell is this?,ang
416,The business?  The business doesn't inspire me.,fru
417,Oh.  Must you be inspired?,ang
418,"Yes.  I like it for an hour a day.  I don't care if I have to grub for money all day long, when I come home I want it happy.",fru
419,"I want some kids, I want a family, I want somebody that I can give myself to and Annie is in the center of that.  Now it's just where to find it.",fru
420,You mean to tell me that you would leave the business over this?,fru
421,"On this, I would.",neu
422,Well you don't want to think like that.,fru
423,Then help me stay here.,neu
424,"All right.  But you don't want to think like that because what the hell are we working for, Chris?  It's all for you.  This whole shooting match is for you.",ang
425,I know that.  Then just help me stay here.,fru
426,Just don't think like that.,ang
427,Well I am thinking like that.,fru
428,"I don't understand you, do I?",fru
429,No.  You don't.  I'm a pretty tough guy.,fru
430,I can see that.,fru
431,Why did he invite her here?,xxx
432,Why does that bother you?,xxx
433,"She's been in New York three and an half years, why all of a sudden?",xxx
434,Well maybe...maybe he just wanted to see her.,neu
435,Nobody comes seven hundred miles just to see.,xxx
436,"What do you mean?  You know he lived next door to the girl his whole life, why wouldn't he want to see her?",xxx
437,[BREATHING] You don't look at me like that.  He didn't tell me anything more than he told you.,fru
438,He's not going to marry her.,ang
439,How do you know he's even thinking about it?,neu
440,It's got that about it.,ang
441,Oh.  So what.,xxx
442,"What is going on here, Joe?",ang
443,Now listen.,fru
444,She is not his girl.  She knows she's not.,ang
445,You can't read her mind.,fru
446,"Then why is she still single?  New York is full of men, why is she still single?  Probably a hundred people told her she's foolish, but she waited.",ang
447,How do you know why she waited?,neu
448,"Because she knows what I know, that's why.  She's faithful as a rock.  In my darkest moments, I think of her waiting and I know that I'm right.",ang
449,"Hey look, it's a nice day, huh?  Why are we arguing?",fru
450,"Nobody in this house dares take away her faith, Joe.  You know strangers might, but not his father, not his brother.",ang
451,What do you want me to do? What do you want?,fru
452,"I want you to-- I want you to act like he is coming back, both of you.  Don't think I haven't noticed you since Chris invited her here.",ang
453,I won't stand for any nonsense.,ang
454,Kate.,fru
455,"Because if he's not coming back, I'll kill myself.  Oh laugh, laugh all you like but why does this happen the very night he comes back.  She goes to sleep in his room and his memorial breaks in pieces.  Look at it, Joe, look.",ang
456,[BREATHING],fru
457,Calm yourself.,fru
458,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry.  Believe with me. You, above all, have got to believe. Just believe.",ang
459,Okay. Calm yourself.,fru
460,"I know. All right, all right. All right. Okay.  Calm yourself. What does that mean, me above all?",fru
461,"Look at you, you're shaking.",xxx
462,I can't help it.,fru
463,"What have I got to hide?  What the hell is the matter with you, Kate?",ang
464,You're the only one who still loves his parents.,neu
465,"I know.  It kind of went out of style, didn't it?",neu
466,It's not so bad; it's a good thing.,neu
467,"[BREATHING] You know, it's lovely here.  The air is sweet.",neu
468,You're not sorry you came.,neu
469,"I'm not sorry, no. But I'm...I can't stay.",neu
470,Why not?,xxx
471,"For one thing, your mother much as told me to go.",neu
472,Well.,neu
473,"And then, you.  You've been kind of...",neu
474,What?,neu
475,Sort of embarrassed ever since I got here.,neu
476,Well I was kind of planning of sneaking up on you over the course of a week or so.  They just take it for granted that we're all set.,neu
477,I knew they would.,neu
478,You did?,xxx
479,"Well sure, from your mother's point of view.  Why else would I come?",neu
480,"So would you want to?  I mean, I guess you have to know that's kind of why I asked you to come?",xxx
481,"I, umm. I guess, I guess that's kind of why I came.",neu
482,[BREATHING],hap
483,"I love you. Annie, I love you.",hap
484,[LAUGHTER],hap
485,"I don't really have any imagination, that's all I know how to say.",hap
486,[LAUGHTER],hap
487,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch.  I wanted it to be somewhere new, some place fresh for both of us.",hap
488,No. No,hap
489,"You feel uncomfortable here, you feel that it's wrong here somehow.  I just...I don't...I didn't want...I didn't want to take you away from anything.",xxx
490,"Chris, I've been ready a long, long, time.",neu
491,And he's gone forever?  Are you sure?,xxx
492,I almost got married two years ago.,neu
493,Why didn't you?,xxx
494,You started to write me.,neu
495,You felt something that far back?,sur
496,Every day since.,hap
497,Why didn't you let me know?,hap
498,"I was waiting for you, Chris.  You sure can be ambiguous, you know.  And when you did finally write me,",xxx
499,Give me a...,hap
500,Give me a kiss.,hap
501,God.  I kissed you Annie.,xxx
502,beating around the bush.,hap
503,"I will never forgive you.  All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",hap
504,"Oh Annie, we are going to live now.  I am going to make you so happy.",hap
505,Not like that you're not.,hap
506,I kissed you.,hap
507,"Like Larry's brother.  Do it like you, Chris.",neu
508,"Chris, what is it?",xxx
509,"Hey, let's drive some place.  Huh?  Let's get out of here.",sad
510,No. What is it?  Is it your mother?,xxx
511,No it's nothing like that. It's-,sad
512,"Then what?  Chris.  Even in your letters, there was something ashamed.",xxx
513,Yeah.  I suppose I have been. But it's going from me.,sad
514,You've got to tell me.,xxx
515,I don't even know how to start.,sad
516,It wouldn't work like this.,xxx
517,"It's just all mixed up with so many other things, you know?  You know overseas I was in command of a company?",sad
518,"Yeah, sure.",neu
519,Well I lost them.,sad
520,How many?,neu
521,Pretty much all.,sad
522,"Aw, geez.",sad
523,You can't just toss off a thing like that because they weren't just men. You know?,sad
524,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks.  He just put them in my pocket.  That's a little thing, you know, but that's what kind of guys I had.",sad
525,"They didn't die, they killed themselves for each other.  I mean that, exactly.  Just a little more selfish and they would all be here today.",sad
526,"And I had this idea as I was watching them go down.  Everything was being destroyed, you know, but this one thing was being made.  It was kind of a monument, it's kind of responsibility, man for man.",xxx
527,Mmhmm.,neu
528,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",sad
529,"But then I came home and it was incredible, you know?  The whole thing was just kind of this random bus accident.  You know, I went back to the rat race again, I went to work.",sad
530,Driving my new car and seeing a new refrigerator.,xxx
531,"I mean...You can't take those things out of a war. when you drive that car and you see that new refrigerator, you have to know that it came out of the love that a man can have for another man.",xxx
532,And I didn't want any of it. I guess that included you.,sad
533,Do you still feel that way?,xxx
534,I just want you to know Annie.,neu
535,"Because you mustn't feel that way.  Everything you have, you've earned - everything.  you understand me?",xxx
536,"Even me.  And your money?  Chris, there's nothing wrong in your money.  Your father put hundreds of planes into the air, you should be proud of that.  A man should be paid for that.",xxx
537,"Annie, Annie.  I am going to make a fortune for you.",xxx
538,What would I do with a fortune?,hap
539,"What time is it?  I think it's supposed to run around midnight, right?  God, this is great, isn't it, Carla?  Look at this night we got here, huh.",xxx
