avaliacao,twet,class_label
negative, flight from bos &gt; las tomorrow was cancelled flightled. no notification; wait times are 1+ hour. will you rebook on another airline?,-1
positive,😎 rt : you’ve met your match. got status on another airline? upgrade (+restr):  ,1
positive, only way to fly!  ,1
neutral, if only you guys had flights from cmh.,0
negative," a lot of ""apologies"" being thrown out to customers from what i can see.very sad. thanks for nothing. worst airline ever.",-1
negative,  for all my flight stuff wrong and did nothing about it. had   ever,-1
neutral, having an issue finding a missing item on a plane. can you help me find which airport my plane headed to next?,0
positive, you will match my  status? cool!,1
neutral,“:you've met your match.got status on another airline? upgrade : ”  ? 🙉,0
negative, trying to book a flight with you guys and your website won't let me... about to lose my business,-1
negative, you suck!,-1
positive, thanks!,1
negative, just dm'd. same issue persisting.,-1
negative, because we never rec'd cancelled flightlation notice we were left w no options to fly out of ps. driving to la for a red eye mon w kids,-1
negative, trying to book a flight &amp; your site is down 😁,-1
negative, you have any flights flying into boston tomorrow? i need to be home and you cancelled flightled my flight and didn't do anything,-1
negative, you stink. flight cancelled flighted from psp to jfk and no notification or ability to rebook .   better,-1
positive, i love your guy's song! we're dancing to it for our high school dance revue,1
negative, your website is down and i'm trying to check in!,-1
positive," done! thank you for the quick response, apparently faster than sitting on hold ;)",1
neutral, nervous about my flight from dc to lax getting cancelled flightled tomorrow! just sent you a dm to help me!,0
positive, cool picture of another virginamerica plane off our wing. what a site! ,1
positive, keep up the great work :),1
positive, my goodness your people  field are amazing under pressure ❤️from texas  in crisis please fly me to ny,1
positive, thanks for a great flight from la to boston! pilots did a great job landing in the snow. can we go back to la now? ,1
neutral, can you please get me to the new york area before monday afternoon,0
positive," thanks so much for the awesome support, you guys rock!",1
negative, seats in row 8 don't recline should mention that on your website ,-1
negative, flight 404 delayed 2 hours in la due to mechanical problems. handle like pros but you could have tossed us a free drink.,-1
negative, why cancelled flight flights today? no precipitation to be scared of!  ❄️❄️❄️,-1
positive, twitter team. you guys killed it for rescheduling me asap. thank you!,1
negative, you guys charged me $100 to reschedule a flight that was then cancelled flighted and are now refusing to refund it. what's the deal?,-1
negative, can’t access your website from safari on iphone 6. seems to work on mac and ipad. need iphone to add passbook.,-1
neutral," on ipad and iphone, clicking the checkin link in the email i received at 24hrs before flight",0
negative," your mobile site is broken, shows 
""{{header.elevateuser.numofpointsavailable || '0' | number}} points"", won't let me checkin",-1
negative, i was really looking forward to my flight. can you let me know when it will be rescheduled? ,-1
negative," why cancelled flight flight vx413? one sec its delayed, on my to airport, the next its cancelled flightled?gonna email or call me to reschedule?",-1
negative, i did it but there was a problem in the link from the email for check-in. thanks,-1
negative, had to change to another airline to get to dc today ... why is  able to land in dc but not you? cost me $800 ...ugh,-1
negative, i was so looking forward to my first flight with you today but it was cancelled flightled along with the subsequent one ...,-1
positive, when are you putting some great deals from pdx to las or from las to pdx show me your love! ,1
positive, wish i can afford to fly with you next friday  going back home.. love everything  about your airline,1
negative,  how are you gonna have a deal from dallas to dc but no deal from dc to dallas? ,-1
neutral," it’s just a bug report, guys",0
negative, hold times at call center are a bit much,-1
positive, like ,1
negative, site down? ,-1
positive, you have the best flight attendant ever!!! ,1
positive,"awesome! rt : watch nominated films at 35,000 feet.   ",1
positive, thanks so much!,1
negative," trying to reset my password, email never arrives. help?",-1
positive,", the only airline based in silicon valley!     's ",1
positive, very nicely done. 👏,1
positive, i’m looking forward to watching the oscars on my flight home tomorrow. i might even get something bubbly to drink! ;),1
negative, what is the reason  for the delay of the departure of vx 413 from jfk this afternoon?,-1
negative," is todays flight from palm springs, ca to jfk in ny cancelled flightled?",-1
positive, hahaha 😂 you guys are amazing. i love you guys!!!💗,1
positive, sounds like fun !,1
neutral, any updates on flight 413 from jfk &gt; lax,0
neutral, spruce moose!,0
negative," the css on your site is a 404 right now, please fix. site unusable.",-1
negative," we're on flight 910 vegas to boston today, checked in online but our bag count didn't register. can i fix that somehow?",-1
positive," classiq, luv virgin america. greetingz",1
negative," hi, i'm trying to do check-in but the website is not working. i tried 3 different browsers and the problem continues",-1
positive, thanks for your great customer service today &amp; for helping me get all my travel sorted out!,1
positive, thanks guys! sweet route over the rockies ,1
positive, love the 90s music blasting at gate in  while waiting for flight to . only if i could get an iced coffee!,1
negative," - the passenger in 7d, flt 338 that assaulted me shouldn't have flown. i trust he's banned. crew filed report to ",-1
negative, current bug on website shows ‘select departure city’ when selecting destination city ,-1
negative, luggage was severely dented/missing wheel coming off baggage claim in san. luggage agent miranda (i think) wasn't any help.,-1
positive," thank you for the easy itinerary shift for impending weather. quick, painless &amp; free.",1
neutral," if you'd love to see more girls be inspired to become pilots, rt our free woaw event march 2-8 at abq. ",0
positive, thanks! good times there and back!  the entire flight🍸,1
neutral," beats expectations, shares take off - santa cruz sentinel ",0
neutral, any plans to start flying direct from dal to las?,0
neutral, big love/gratitude.mpower w/  werin  vipswagbags@  ,0
positive,", you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. thank you. keep it up!",1
negative, requested window seat and confirmed window but got stuck in middle seat. not a good way to treat silver member😒,-1
neutral, grand budapest hotel ,0
neutral, this is what you missed . next trip to the 407.,0
negative,  i paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!,-1
negative, there is something wrong with you website in safari iphone,-1
positive, thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too ,1
negative, already checked in so the page expired :x,-1
negative, boo for a not refunding a seat upgrade fee i did not want to buy in the first place!,-1
neutral, shares rise on q4 financial results - usa today ,0
neutral, adds pillows instead of lie-flat seats in first class arms race ,0
positive, i see what you did there ;),1
neutral, way to take advantage of  :),0
neutral, you know i'm flying virgin for the fight ,0
positive, your inflight team makes the experience !,1
positive, cutest salt and pepper shaker ever. just when i think you guys can't get any better you just do! ,1
negative," moved my seat with no notice. ""better seat"" is cabin select not behind the row i selected👎 ",-1
neutral, shares up on 4q results -  ,0
positive, fav airline,1
positive, we have a hot female pilot! sweet! dca to sfo! :-),1
neutral,👍👍✈️✈️💗 when are you guys going to start flying to paris? :  you're welcome.”,0
neutral, what is your policy on flying after surgery?  i am still waiting for answer so i can tell me doctor.,0
negative, already contacted central baggage &amp; sent dm.  is charging me for the dress that was in the lost suitcase ,-1
positive, thank you!!,1
negative, is there anything going on with the website? i've been getting a lot of errors past 30 minutes.,-1
neutral, i think i left something on the plane yesterday. who do i call...ah!,0
neutral, i need you to follow back in order to dm.,0
neutral, need to start flying to  .  😊😀😃😄,0
neutral, they told to check with the airline regulation first so that is why i contacted you.,0
negative,  i have just checked in flight to sfo from lax &amp; been told as atlantic flying club gold i get no benefits?!,-1
negative, husband and i ordered three drinks via my screen and they never came. awesome!,-1
negative, soooo are you guys going to leave the seatbelt light on all flight? you can barely call this turbulence :-),-1
neutral, what is your policy on flying after surgery?,0
neutral, posts second consecutive full-year net profit -  ,0
negative," funny story, your website is broken, you have missing javascript and stylesheets on the checkin process. i dislike this!",-1
positive, would love to do more for virgin just like i do for ,1
neutral, results handily exceed forecasts -  ,0
neutral," i applied for a position in  ,and i was wondering if you guys received my application.",0
neutral, achieves a second year of profitability despite revenue pressure ... -  ,0
neutral," gives positive outlook, but sees increased competition -  ",0
negative, i'm trying to check into my 10:50am ct flight tmm on the desktop website and it's not working (some sort of caching bug) sos,-1
neutral, weather delays &gt; next few weeks ;)   ,0
neutral,  check the website before you go to the airport!,0
negative, do you guys know your check-in links from emails are broken? ,-1
neutral, pilot says we expect a choppy landing in nyc due to some gusty winds w/a temperature of about 5 degrees &amp; w/the windchill -8,0
positive, loved it. can't wait for monday's return flight... mostly just to watch the inflight safety video again. ,1
negative," lost my luggage 4 days ago on flight vx 112 from lax to iad &amp; i'm calling every day, no response.please give me back my stuff",-1
negative, the flight booking problems section of your website seems to be broken on chrome. might wanna look into that.,-1
positive, hi! just wanted to see if you have any new routes planned this year for newark. love flying you guys and hope to do so more!,1
positive," i mean. probably inappropriate while on board.. but, it's on!",1
positive, happy to spend the day together. let's do this!,1
neutral, is saving my sanity right now: ,0
neutral, missed my flight. how does standby work?,0
positive,. they were very understanding and helped me out.  thx! ,1
neutral, brought it all the way across the country today i see ,0
positive, thank you! i absolutely will 😎,1
negative, looks like a broken link for your assets ,-1
neutral, are you ready!? let's say it together.. 'noooo turbulence today!' 😘,0
negative, the manage itinerary section of your website seems to be broken for me ,-1
negative," can't check in, your site looks like this every time it loads ",-1
neutral, can u help this 👸  needs urgent treatment in🇺🇸2y old battling cancer could u help with flights 💗,0
neutral, may start service to hawaii from  this year  ,0
negative, other carriers are less than half price for a round trip fare. i am stunned. ,-1
negative, wtf is happening in pdx late flight march such that one way from sfo is ~$550?,-1
neutral, add dtw and i'm sold!,0
positive, how about some free drinks on the flight back for the free promo?,1
positive,  thanks!,1
neutral, momma i made it! 😁😁😁,0
neutral, please contact me about portfolio left on flight vx 27 from jfk to sfo tonite seat 7am. need it returned. call 914-329-0185.,0
neutral, help. i was on  flight  27 from jkf tonight. seat 7c left portfolio. need it back!!,0
neutral,  seattle bound. wifey got me the duffle for vday. she's a keeper!!! holla!!! ,0
negative," my luggage is gone. i've filed my paperwork, promised a call/email. still no resolution or response from central luggage.",-1
neutral, debbie baldwin gave a  performance of the safety demo this evening on vx919   ,0
positive, thanks!,1
positive, thanks for taking care of  on her flight!!  ,1
positive, thanks for the lovely soft views!   to  ,1
negative, i requested a mileage challenge for status several weeks ago online but haven't heard back. how do i get help with this?,-1
negative," just trying to book tickets to nyc and facing super fun broken styling. don't worry, i'll keep trying :)",-1
neutral," many thanks for the follow.
    
looking for any help😍
💗🇬🇧💗🇺🇸💗
🎀🌏🎀 ",0
neutral," nice, lofty view .  ",0
negative, applied for status match on feb 1. got confirmation email same day. still no news though. you guys have dropped ball late flightly 😥,-1
neutral, is my new go to airline,0
neutral,"    
can you help  in need of some help in  
🎀🇬🇧🎀🇺🇸🎀 ",0
positive," i adore you, and am so looking forward to my flight to austin in two weeks.",1
positive, i was so glad it was mentioned. i took my first virgin flight a few years back and it was a transformative experience.,1
neutral, flight booking problems flight to uphold my status match.  do taxes on ticket count as earned status points?   ,0
negative, trying to check-in...but looks like your site is down?,-1
negative," spending my birthday night with you, dal-dca. get me home!",-1
negative, sent a couple messages to the email you provided but to no avail. will try again next year. cheers.,-1
positive," first time flying virgin, went to  .thanks for the smooth ride. easily my new fav airline!",1
negative," seriously, though. will there not be direct flights from sfo-fll in may???",-1
negative, it's fine. already done with my purchase. but you should try it. just go most of the way through then go back 3,-1
negative," not really the experience i was hoping 4, i ws forced 2 check in a small carry on, w/ nothing but empty cabin space on board",-1
negative,"
wjere is our luggage  slow at lax",-1
neutral, to jump into the   market ,0
negative," i spoke with a representative that offered no solution, i am a loyal customer who flies on  as well",-1
negative, i am deeply disappointed that your birthday promo was not applied to a trip i booked mere days before i received the email,-1
negative," what happened to direct flights from sfo-fll? looking in may, only see connecting  ",-1
neutral,.. can you help? left my blazer in. kooples jacket bag at 3rd row second seat from right gate 36 t3 lax.. flight to sfo,0
neutral, partners with  checkout as mobile payment method to help boost mobile conversion rates   ,0
positive," just promoting the product is all, had a problem with southwest and recommend noneother than the best! ",1
positive," love you guys, but pls get some direct routes las to aus!",1
neutral, i would like help with some flights please.,0
neutral,bruh “:  turn down for what. ”,0
positive, of course! i work for  and i'm obsessed with the entire virgin family!!,1
positive, ok! first time flying with you tonight :),1
neutral, digging the swanky pink mood lighting during the flight from nyc to sfo.  just needs a cabaret singer.  think about it!,0
neutral," done, but i need the receipt asap. could you please help? -000114",0
negative," i have 2d and 3d embossed badges and patches superior to the ones you are currently using. 
",-1
negative, on vx399 from jfk to la - dirty plane - not up to your standards.,-1
negative, on flight vx399 headed to la from jfk - dirtiest va plane i have ever been on. sad for a great airline.,-1
positive, got it squared away. someone picked up as soon as i tweeted. should have tweeted sooner. 😉,1
negative, your avis rental continue button doesn't work on your website to book car. tried 4 times on phone.  this sucks!,-1
negative, delayed to10.30!!,-1
negative, currently in minute 10 of being on hold with cust. service. do i need to do anything to add a lap child to my reservation?,-1
neutral," adds pillows instead of lie-flat seats in first class arms race 
 by ",0
positive,“:  of course. have fun celebrating!” thanks! happy chinese new year!,1
positive,  flight booking problems last second flight for next week from sfo- to san any chance you want to gift me a promo code since i love you guys,1
negative, comenity bank is a joke!  please change.  nothing but constant problems with this bank,-1
neutral," i just did, how can i dm? do u have to also add me?",0
positive," for my grandma ella's 80th, she would &lt;3 a bday greeting from your flight crew! she was a stewardess for eastern airlines.",1
positive, just bought tix for atx - dallas route - thanks for adding that! love yr airline &amp; yr website is best transactional site ever,1
neutral," anytime, sugafly.",0
positive, gave a credit for my late flight flight yesterday. great service !!!! that's a wow moment! unexpected gesture!,1
neutral, i need a receipt for a flight change. can you send one?,0
negative,", i submitted a status match request a while back and still haven’t heard! i’m flying on monday. can you look / accelerate?",-1
positive, had me at their safety video . . .   loved my first cross country flight.  ,1
positive, that doesn't look to fat to me! it looks yummy!,1
neutral," ceo says  &amp;  have strayed from low cost model.
",0
neutral, a brilliant brisk am in boston in cue for vx363 ,0
neutral, atlantic ploughs a lone furrow in the   ,0
neutral, atlantic ploughs a lone furrow in the   ,0
neutral, atlantic ploughs a lone furrow in the   ,0
positive, omg omg😍😍 nonstop dallas to austin on virgin✨😱✈️,1
positive, your planes are really pretty. just thought u should know that. :),1
neutral, when are you flying to hawaii,0
negative, i'm pulling my hair out trying to book a flight with u. your site doesn't work on iphone or ipad.don't have a computer ,-1
positive, thank you,1
negative, can i get some help with a support ticket? it's been 15 days.... incident: 150202-000419 thank you!,-1
positive, good to be home   ,1
negative, i cannot even open my laptop in seat 4c and i paid a premium for this?!!   let me out of here!,-1
negative, i am in seat 4c and i cannot even open my laptop; and i paid extra for this seat!!,-1
neutral,. if only you guys were starting those flights at the end of the month! guess i’m still road tripping on feb 27…,0
positive," thanks for that. been needing a way to make those austin trips from dca, and now you've come through!",1
neutral," announced new route to austin w/fares from $39/way. 
",0
neutral, really? sprint? i thought you guys were 'kewl'! 0_0,0
positive, this is too cool!  never been on ur planes but now i will!!,1
neutral, you should have 39 dollar lax-las fares!!!,0
positive, great. well deserved.,1
negative, fyi the info.com email address you say to contact in password reset emails doesn't exist. emails bounce.,-1
negative, status match - 2 weeks have gone by and no news.flt next week - hope flt will count towards requirement.  cust svc no help!!!,-1
negative, your website sucks donkey dicks. just thought you should know. all best.,-1
neutral, you should still develop an app - then you will be my favorite airline.,0
negative, all crap channels which is why i pay to watch uk tv,-1
positive, got it. all set - thanks!,1
neutral, no a's channel this year?,0
neutral, only thing i see on passbook is virgin mobile mexico. how do i integrate?,0
positive, giants and virgin america. a match made in heaven.,1
positive," thank goodness!! also, see you friday, nwk&gt;sf.. boom!",1
negative, how come you don't have an iphone app? still using and making me waste paper.,-1
negative, your back of seat entertainment system does not accept credit cards that  have an apostrophe in the surname. ,-1
negative, when will vx use all 6 lga slots instead of 4 today? adding aus makes this less likely :(,-1
neutral, is helping me step up my  game!   ,0
positive, i luv ur people and product! 1 thing is y do u charge for herbal tea but not black tea? i'm not a caffeine drinker,1
positive, thank you! see y'all soon! i'm excited to see the expansion of destinations. spread those wings!,1
neutral," announces new nonstop connecting  &amp; , $39 intro:  ",0
neutral, adds austin-dallas love field route.  ,0
negative, sad to learn you no longer fly sfo &gt; phl. hope it returns!,-1
neutral," - can you tweet me the cancelled flight/chng fee for a flight? or can i rebook under one of your affiliates? if so, who are afiliates?",0
positive, has the most incredible customer service i've ever experienced! so refreshing!,1
neutral," now, when will we see virginamerica come to philadelphia (phl).",0
positive," , am i dreaming? did you really just open up a route between dallas and austin?! and does this mean houston might be next?",1
positive, omg finally,1
neutral, to start 5xweekly  flights from to    on 28apr ,0
