Session_ID,Time_Record,Transcription,Sentiment,Valence,Activation,Dominance,discrete
Ses01F_impro03_M014,[073.4100-076.9975]:,is that your phone,hap,4.3333,3.6667,2.6667,4
Ses01F_impro03_F015,[074.2675-078.8425]:,yeah so laughter he s calling me now,exc,4.6667,3.6667,3.0,6
Ses01F_impro03_M015,[078.3200-080.5000]:,he love you,hap,4.0,3.0,2.6667,4
Ses01F_impro03_F016,[079.0350-081.0875]:,he like to keep tab you know,hap,4.0,3.0,2.3333,4
Ses01F_impro03_M016,[080.7175-082.5225]:,how much did he win at the slot,neu,3.6667,2.6667,2.6667,0
Ses01F_impro03_F017,[082.0975-085.0800]:,uh i think seven hundred and fifty dollar,neu,3.6667,2.6667,2.3333,0
Ses01F_impro03_M017,[084.6925-087.3600]:,really penny slot,sur,3.6667,3.6667,2.3333,5
Ses01F_impro03_F018,[085.1000-088.0225]:,penny slot that s what he play,neu,3.6667,3.0,2.0,0
Ses01F_impro03_M018,[087.6425-089.0800]:,wow,sur,3.0,2.6667,2.6667,5
Ses01F_impro03_F019,[088.0800-089.5000]:,yeah,neu,3.6667,2.3333,2.0,0
Ses01F_impro03_M019,[089.1200-093.9100]:,i m a big fan of the wheel of fortune quarter but it just cost so much i don t know,neu,3.0,3.0,2.3333,0
Ses01F_impro03_F021,[092.7500-098.2100]:,yeah we played wheel of fortune penny it s like a giant thing with like,hap,3.3333,3.6667,2.6667,4
Ses01F_impro03_M020,[097.0300-101.6500]:,but the penny always get you because you end up spending like you know fifty buck,neu,3.3333,3.0,2.6667,0
Ses01F_impro03_F022,[099.7775-102.0300]:,fifty buck mmhmm,neu,3.3333,2.6667,2.0,0
Ses01F_impro03_M021,[101.6700-104.3500]:,like wait but it s just penny you re like wait a minute i m on to you,neu,3.0,3.3333,2.6667,0
Ses01F_impro03_F023,[102.6200-103.4625]:,yeah,neu,3.0,2.3333,2.0,0
Ses01F_impro03_F024,[103.7800-108.1825]:,well so now we re married we have cat child,hap,4.3333,3.0,2.6667,4
Ses01F_impro03_M022,[105.2900-106.9500]:,awesome,exc,4.0,3.3333,2.6667,6
Ses01F_impro03_M023,[107.7100-111.4000]:,laughter cat baby,hap,4.6667,4.3333,3.6667,4
Ses01F_impro03_F025,[110.2300-114.1600]:,we renamed brenda lumber janet,hap,4.3333,3.3333,3.3333,4
Ses01F_impro03_M024,[117.3600-119.5800]:,that s fair enough,neu,3.6667,2.6667,2.3333,0
Ses01F_impro03_F026,[114.1900-120.2000]:,she need a new name each state that we go into laughter,hap,4.6667,4.0,3.0,4
Ses01F_impro04_M000,[002.7418-006.6575]:,have you tried uh craig s list,neu,3.0,2.5,2.5,0
Ses01F_impro04_F000,[007.2455-011.6400]:,uh what craig s list oh the internet thing,neu,3.0,3.0,3.0,0
Ses01F_impro04_M001,[010.4600-012.1300]:,yeah,neu,3.0,2.5,2.0,0
Ses01F_impro04_F001,[011.7448-016.1500]:,i don t know isn t that that s all like escort service and thing like that,neu,2.5,2.5,3.0,0
Ses01F_impro04_M002,[015.6400-018.9000]:,no there s regular job on there,neu,3.0,2.5,3.0,0
Ses01F_impro04_F002,[018.6000-030.8976]:,i don t know i mean i ve been looking for so long that i just figured that i mean i think thing like monster are a lot more reliable than just some random free board,fru,2.5,3.5,3.0,1
Ses01F_impro04_M003,[026.9100-028.7100]:,uh huh,neu,3.0,2.5,2.5,0
Ses01F_impro04_M004,[030.8800-035.5225]:,i m just saying i have a friend that got a good job on it so i wa just recommending it,neu,3.0,3.0,3.0,0
Ses01F_impro04_M005,[037.1900-040.5300]:,he s like a manager for a theatre,neu,3.0,3.0,3.0,0
Ses01F_impro04_M006,[040.5400-043.5760]:,he s like a house manager yeah it s a good job,neu,3.0,3.5,2.5,0
Ses01F_impro04_F005,[043.3500-045.7596]:,he just,neu,3.0,2.0,2.5,0
Ses01F_impro04_F006,[046.2735-049.8300]:,you know what i heard about that job i applied for that,neu,3.0,3.5,3.5,0
Ses01F_impro04_M007,[049.3900-050.5800]:,you did,neu,3.5,3.0,2.5,0
Ses01F_impro04_F007,[050.1100-054.3100]:,yeah i saw a posting at the theatre,fru,3.0,3.5,4.0,1
Ses01F_impro04_M008,[055.2100-056.3300]:,yeah,neu,3.0,3.0,2.5,0
Ses01F_impro04_M009,[056.3500-059.0245]:,you ve been looking for a job for a long time that wa a long time ago right,neu,3.0,3.0,3.0,0
Ses01F_impro04_F009,[058.7100-060.0937]:,yeah,neu,2.5,2.5,2.5,0
Ses01F_impro04_M010,[059.8000-061.5500]:,hmm,neu,3.0,2.5,2.0,0
Ses01F_impro04_M011,[065.9700-069.7700]:,i don t know he had a really good resume i guess and,neu,3.0,3.0,2.5,0
Ses01F_impro04_M012,[070.3800-072.7264]:,yeah do you have a resume,neu,3.0,3.0,2.5,0
Ses01F_impro04_M013,[073.7473-077.1500]:,it s kind of helpful when getting a job,neu,3.0,2.0,3.0,0
Ses01F_impro04_F013,[076.4900-080.7269]:,i just i mean i call people up and i tell them what i m good at,neu,3.0,3.5,3.5,0
Ses01F_impro04_M014,[080.1435-087.8100]:,well maybe we should sit down some time and you can just tell me all the stuff that you have done and i ll write it out,neu,3.5,3.5,3.5,0
Ses01F_impro04_F014,[085.4900-086.9800]:,yeah,neu,2.5,3.0,2.5,0
Ses01F_impro04_M015,[092.3700-099.2700]:,no you can or you can just bring it in person but they need generally something to see you know what kind of what that you ve done what kind of,neu,2.5,3.5,3.0,0
Ses01F_impro04_F016,[097.4100-101.0475]:,i m there in front of them i m telling them what i m good at,fru,2.0,4.0,3.5,1
Ses01F_impro04_M016,[100.4850-103.4700]:,yeah but the piece of paper help too,neu,3.0,2.5,2.5,0
Ses01F_impro04_F017,[102.7800-105.4150]:,why it s a piece of paper,fru,2.0,4.5,4.0,1
Ses01F_impro04_M017,[104.9700-107.7800]:,no but it ha an outline you know,neu,3.0,3.5,3.0,0
Ses01F_impro04_F018,[106.1700-111.8600]:,i just don t want this paper trail you know i just don t want thing following me around like,fru,2.0,4.5,3.5,1
Ses01F_impro04_M018,[111.6600-117.7250]:,i know okay well um maybe,neu,3.0,3.5,3.0,0
Ses01F_impro04_F019,[114.9200-122.3100]:,it s just you know i ve had this problem before you re not the first person to tell me that i need a resume but,fru,3.0,3.5,3.0,1
Ses01F_impro04_M019,[118.4600-119.7700]:,yeah,neu,3.0,2.5,2.5,0
Ses01F_impro04_M020,[121.5000-123.4200]:,okay yeah i would imagine,neu,3.0,2.5,2.5,0
Ses01F_impro04_M021,[129.4300-139.1600]:,well sometimes you have to do thing that you don t necessarily like to do to have a job but the job affords you money you won t have to be taking the bus right now,neu,3.5,3.5,3.0,0
Ses01F_impro04_F021,[133.7400-137.4400]:,that s baloney that s baloney,fru,2.0,2.0,3.0,1
Ses01F_impro04_F022,[138.1300-139.8900]:,please,fru,2.0,2.0,2.5,1
Ses01F_impro04_M022,[139.5219-141.8225]:,maybe get a car,neu,3.0,2.5,2.5,0
Ses01F_impro04_M023,[144.9125-149.5100]:,i just you know think you should try a little harder maybe,neu,2.5,2.5,2.0,0
Ses01F_impro04_F023,[148.5500-152.8500]:,you think that you re better than me because i don t have a car,fru,2.0,2.5,3.0,1
Ses01F_impro04_M024,[151.8400-154.0300]:,i didn t say that,neu,3.0,2.5,3.0,0
Ses01F_impro04_F024,[153.1800-155.2925]:,you know you re riding the bus too,fru,2.5,2.5,3.5,1
Ses01F_impro04_M025,[154.6000-157.8000]:,i am riding the bus but by choice,neu,3.0,3.5,3.5,0
Ses01F_impro04_F025,[157.1625-159.7000]:,why what choice,fru,2.5,2.5,3.0,1
Ses01F_impro04_M026,[158.9500-161.3500]:,to save the environment carpool,neu,3.5,3.0,3.0,0
Ses01F_impro04_F026,[161.0787-163.7800]:,you re saving the environment mmhmm,fru,2.5,2.0,3.5,1
Ses01F_impro04_M027,[162.1200-164.7825]:,yes one le car at a time,neu,3.5,3.5,3.5,0
Ses01F_impro04_F027,[164.3925-167.5650]:,interesting that s fantastic,fru,2.5,2.0,3.0,1
Ses01F_impro04_M028,[165.4700-166.7100]:,mmhmm,neu,3.0,2.5,2.0,0
Ses01F_impro04_M029,[167.0500-171.4300]:,you know you don t have to take out your frustration on me you know just because,fru,2.5,3.5,3.5,1
Ses01F_impro04_F028,[170.8300-172.8400]:,i m not frustrated,ang,2.0,3.5,3.5,2
Ses01F_impro04_M030,[171.7500-175.2600]:,you can t get a job and refuse to have a resume,fru,2.5,2.5,3.0,1
Ses01F_impro04_F029,[175.2700-178.4300]:,who do you think you are,ang,1.5,4.0,4.0,2
Ses01F_impro04_M031,[178.0033-180.8650]:,i don t think i m anyone,neu,3.0,2.5,2.5,0
Ses01F_impro04_F030,[180.3025-183.4875]:,you are so high and mighty i just,ang,1.5,3.5,4.0,2
Ses01F_impro04_M032,[182.8200-185.5400]:,i i i didn t okay,neu,2.5,2.0,1.5,0
Ses01F_impro04_F031,[184.4700-188.8700]:,oh i m saving the environment i m riding this car because i i want to,ang,1.5,3.0,3.5,2
Ses01F_impro04_M034,[188.0100-190.7100]:,what oh so now you re,fru,2.5,2.0,2.0,1
Ses01F_impro04_F032,[189.1200-192.0200]:,the bus i m riding the bus because i want to,ang,2.0,3.5,3.5,2
Ses01F_impro04_M035,[191.2800-195.1300]:,you know what you don t have to take your anger and your hurt out on me,fru,2.0,3.5,3.0,1
Ses01F_impro04_F033,[193.5875-199.4325]:,i can not you are not here by choice nobody would ride this bus by choice,ang,1.5,3.5,4.5,2
Ses01F_impro05_F000,[004.2400-005.2300]:,hi,fru,4.0,2.0,1.5,1
Ses01F_impro05_M000,[003.6100-005.1900]:,hi thanks for waiting,neu,4.0,2.5,2.0,0
Ses01F_impro05_F001,[005.2600-007.1600]:,yeah this is the fourth line that i have been in,fru,2.0,2.5,2.5,1
Ses01F_impro05_M001,[005.2100-006.4400]:,can i help you,hap,4.0,2.5,2.0,4
Ses01F_impro05_M002,[006.6000-007.7100]:,uh huh,hap,4.0,2.5,2.0,4
Ses01F_impro05_F002,[007.3500-008.8500]:,i need my bag,fru,2.5,2.5,3.5,1
Ses01F_impro05_M003,[008.3200-009.8000]:,okay,neu,4.0,2.5,2.0,0
Ses01F_impro05_F003,[009.2000-013.0200]:,i flew in over three hour ago i ve been in four different line,fru,2.0,3.0,3.5,1
Ses01F_impro05_M004,[012.2600-013.7800]:,okay,neu,3.5,1.5,2.0,0
Ses01F_impro05_F004,[013.0400-022.7400]:,i waited the entire baggage i waited for the whole baggage carousel four time they told me to go to the next one i waited through that for three plane and now i m here,fru,2.0,3.5,3.5,1
Ses01F_impro05_M005,[021.8400-025.9000]:,okay great i m really sorry that you had to do that what s your last name let s start there,neu,3.5,2.5,2.0,0
Ses01F_impro05_F005,[025.3500-026.7600]:,nash,fru,2.5,3.0,3.0,1
Ses01F_impro05_M006,[025.9900-027.7272]:,okay,neu,3.5,2.5,2.0,0
Ses01F_impro05_M007,[028.2900-034.1425]:,all right okay and you lost your bag is that that the issue,neu,3.5,2.5,2.0,0
Ses01F_impro05_F007,[032.1900-033.5000]:,yes,fru,2.5,3.0,3.5,1
Ses01F_impro05_F008,[033.7800-035.9000]:,flight seven fourteen,ang,2.5,2.5,3.5,2
Ses01F_impro05_M008,[034.7000-036.5200]:,uh huh,neu,3.0,2.5,2.0,0
Ses01F_impro05_F009,[036.7100-044.0300]:,am i going to be getting like free ticket free mileage when can i expect my bag here,ang,2.5,2.5,3.5,2
Ses01F_impro05_M009,[036.9100-042.7600]:,yeah yeah i don t see i don t see any,neu,2.5,2.5,2.0,0
Ses01F_impro05_M010,[043.8600-049.9700]:,i don t see any record of it and i usually when i don t see a record of it that mean um,neu,2.5,2.5,2.0,0
Ses01F_impro05_M011,[049.9700-070.2600]:,we ve mistakenly lost your baggage we re very sorry on behalf of jet blue i would like to apologize for any inconvenience i am allowed to issue you a fifty dollar gift card which you can use any future flight you want to take with u i m very sorry once again,neu,2.5,2.5,2.0,0
Ses01F_impro05_M012,[070.3800-073.1400]:,for such an inconvenience and your bag but,neu,2.5,2.0,1.5,0
Ses01F_impro05_F011,[073.8700-075.5375]:,is this a joke,ang,2.0,4.5,3.5,2
Ses01F_impro05_M013,[073.5500-074.9900]:,yeah,neu,2.5,2.0,1.5,0
Ses01F_impro05_M014,[075.0300-076.4800]:,no no,neu,2.5,2.5,1.5,0
Ses01F_impro05_F012,[075.6100-080.7300]:,are there candid camera is this that movie there s that show right airplane airline,ang,2.5,3.5,3.0,2
Ses01F_impro05_M015,[080.2200-083.2425]:,no no this is real,neu,2.5,2.0,1.5,0
Ses01F_impro05_M016,[085.7200-093.9575]:,no i m just giving you money the bag is gone if it s not here i m really sorry there is nothing i can do because,neu,2.5,2.5,2.0,0
Ses01F_impro05_M017,[094.0050-100.4000]:,this is the only track record that we have and if it s not listed here then it s probably not anywhere,neu,2.5,2.5,2.5,0
Ses01F_impro05_F014,[099.5200-102.9000]:,you re kidding me this is a joke,ang,1.5,4.0,4.0,2
Ses01F_impro05_F015,[103.0050-118.5000]:,do you have any idea fifty dollar that s supposed to replace everything that i have do you understand how much i have packed in there not only doe it have sentimental value it can t be replaced like that it wa incredibly expensive,ang,1.5,4.5,4.5,2
Ses01F_impro05_M019,[111.2800-112.8100]:,yes,neu,2.5,2.0,2.0,0
Ses01F_impro05_M020,[118.0400-119.3700]:,i know,neu,2.5,2.0,2.0,0
Ses01F_impro05_F016,[118.5300-122.4400]:,we flew in from paris i ve been shopping for three week,ang,1.5,4.5,4.0,2
Ses01F_impro05_F017,[127.4850-136.8500]:,i don t care what you re freaking sign say somebody somebody need to replace everything i ve got there and give me money for my inconvenience,ang,1.5,5.0,4.5,2
Ses01F_impro05_M022,[131.0200-133.2500]:,okay calm,neu,2.5,2.0,2.0,0
Ses01F_impro05_M023,[136.1900-143.5000]:,actually we are not necessarily liable to give you to even give you this fifty dollar so it s actually it s actually really,neu,2.5,3.5,2.5,0
Ses01F_impro05_F018,[137.7150-140.1100]:,do you understand who my husband is,ang,1.5,4.0,4.0,2
Ses01F_impro05_F019,[140.2250-145.6000]:,if you re if you re if you re looking for a lawsuit baby you ve found it,ang,1.5,4.0,4.5,2
Ses01F_impro05_M024,[144.8500-151.1600]:,we are actually not even allowed you know like we don t have to give you this fifty dollar we don t have to do that,neu,2.5,3.0,2.5,0
Ses01F_impro05_F020,[149.3650-153.8000]:,oh oh it s a gift you re you re helping me out here,ang,1.5,4.5,4.5,2
Ses01F_impro05_M025,[151.3350-152.7100]:,it s a gift,neu,2.5,2.5,2.0,0
Ses01F_impro05_M026,[152.8325-158.5800]:,you know the airline can not be held responsible for every bag of luggage that come through here,neu,2.5,2.5,2.5,0
Ses01F_impro05_F021,[155.6000-160.3600]:,you are cruising for a bruising you are in so much trouble,ang,1.5,4.5,4.5,2
Ses01F_impro05_M027,[159.6600-161.3700]:,with the amount of,neu,2.5,2.5,2.0,0
Ses01F_impro05_F022,[160.4100-163.7975]:,who s in charge who is the president of jet blue,ang,1.5,4.5,4.0,2
Ses01F_impro05_M028,[163.2500-166.9900]:,um actually i don t know i don t know oh really,neu,2.5,2.5,2.0,0
Ses01F_impro05_F023,[163.8800-165.8000]:,because i probably know him,ang,2.0,3.0,4.0,2
Ses01F_impro05_F024,[166.3300-167.7100]:,yeah,ang,2.0,3.0,4.0,2
Ses01F_impro05_M029,[167.1500-173.6300]:,well then maybe you can just call him and he can give you more money but right now all i can do,neu,2.5,2.5,2.5,0
Ses01F_impro05_F025,[171.0900-174.2000]:,i don t want money i want my clothes,ang,1.5,4.5,4.5,2
Ses01F_impro05_M030,[173.7325-178.2625]:,right now all i can do is just give you this fifty dollar i m really sorry,neu,3.0,2.5,2.0,0
Ses01F_impro05_F026,[177.6025-179.0900]:,what s your name,ang,2.0,3.5,3.5,2
Ses01F_impro05_M031,[178.5900-180.8700]:,oh my name is sean hi,neu,3.0,2.5,2.5,0
Ses01F_impro05_M032,[183.1400-189.3875]:,badge number uh no you can just take my employee number i guess,sur,3.0,2.5,2.0,5
Ses01F_impro05_F028,[188.7800-190.8975]:,okay i ll do that,ang,2.0,3.0,4.0,2
Ses01F_impro05_M033,[190.2300-196.9000]:,why have i done something wrong have i given you bad service i feel like i have done the best i could,sur,2.5,3.0,2.0,5
Ses01F_impro05_F029,[195.3800-199.3300]:,i don t think you have done everything you could do because i don t have my bag here yet,ang,1.5,3.0,3.5,2
Ses01F_impro05_M034,[198.6600-205.1700]:,if you want you can write a letter i can give you the address yes an angry,neu,2.5,2.5,2.5,0
Ses01F_impro05_F030,[202.8600-206.1700]:,a letter i ll make a personal phone call,ang,2.0,3.0,3.5,2
Ses01F_impro05_M035,[205.6300-211.9400]:,or you can make a phone call but i think a letter might be a little more in my impression letter have more,neu,2.5,2.0,1.5,0
Ses01F_impro06_M000,[011.4600-014.7400]:,i m sorry joy,sad,2.5,2.0,3.0,3
Ses01F_impro06_M001,[018.4900-024.9100]:,is there anything i can get you do you want me to take care of anything for you or,neu,2.5,3.0,3.5,0
Ses01F_impro06_M002,[025.1200-026.5600]:,pick up anything,neu,2.5,2.0,3.0,0
Ses01F_impro06_F002,[026.0700-027.6500]:,no,sad,2.0,1.5,2.5,3
Ses01F_impro06_M003,[028.9700-035.0200]:,you know you are welcome to stay at my house if you want to just check out for a couple day and hang out,sad,2.5,2.0,3.5,3
Ses01F_impro06_F003,[034.4500-035.7800]:,that s sweet,neu,3.0,2.0,2.5,0
Ses01F_impro06_F004,[036.0700-038.0400]:,thank you,neu,3.5,2.0,3.0,0
Ses01F_impro06_F005,[039.6025-046.2900]:,i went to see her headstone a week or two ago,sad,2.0,2.0,4.0,3
Ses01F_impro06_F006,[047.3400-059.3800]:,i used to go to cemetery a lot before she died i just you know i felt like they were urban oasis you know there is always this green in the city,sad,3.5,3.0,4.0,3
Ses01F_impro06_M004,[056.1700-057.4900]:,hmm,neu,3.0,3.0,2.5,0
Ses01F_impro06_F007,[059.4525-067.4525]:,so i wa like wandering around before it take forever to find her headstone i always lose it you know,sad,3.5,3.0,4.0,3
Ses01F_impro06_F008,[070.2200-080.1300]:,so i wa looking at this other one and there wa like a piece of candy there and i thought that i would take the candy and put it on her headstone and,sad,2.5,3.5,3.5,3
Ses01F_impro06_F009,[080.1600-087.7400]:,this woman came up and you know it wa hers it wa her person that wa there,neu,2.5,3.0,3.5,0
Ses01F_impro06_M005,[086.9600-088.6300]:,oh she wa there,neu,3.0,2.0,2.5,0
Ses01F_impro06_F010,[087.8300-093.6700]:,yeah and she wa like that s pathetic i hope you enjoy it,sad,2.0,2.5,3.5,3
Ses01F_impro06_F011,[101.8300-116.9100]:,and i you know i mean i said i wa sorry and i brought it back to her kind of and i like put it on the ground and she wa like no it s fine she wa like i would rather have her back honestly,sad,2.0,3.0,4.0,3
Ses01F_impro06_M006,[107.7800-109.2700]:,mmhmm,neu,3.0,2.0,2.5,0
